pwm_r,pwm_l,time_r,time_l,x_init,y_init,yaw_init,x_new,y_new,yaw_new
255,-255,1.0,1.0,-1246.18,-1253.21,-87.57,-1246.18,-1253.21,-87.57
255,-255,0.5,0.5,-1245.3,-1252.86,-175.14,-1245.3,-1252.86,-175.14
200,-200,0.5,0.5,-1245.1,-1253.09,146.53,-1245.1,-1253.09,146.53
200,-200,0.1,0.1,-1245.02,-1253.11,122.35,-1245.02,-1253.11,122.35
120,-120,0.1,0.1,-1245.02,-1253.11,121.64,-1245.02,-1253.11,121.64
80,-80,0.1,0.1,-1245.02,-1253.11,121.52,-1245.02,-1253.11,121.52
50,-50,0.1,0.1,-1245.02,-1253.11,121.48,-1245.02,-1253.11,121.48
0,0,0.1,0.1,-1245.02,-1253.11,121.46,-1245.02,-1253.11,121.46
-100,100,0.1,0.1,-1245.02,-1253.11,121.46,-1245.02,-1253.11,121.46
-150,150,1.0,1.0,-1245.02,-1253.11,121.53,-1245.02,-1253.11,121.53
-200,200,1.0,1.0,-1245.01,-1253.19,152.53,-1245.01,-1253.19,152.53
-255,255,1.0,1.0,-1245.05,-1253.3,-152.99,-1245.05,-1253.3,-152.99
-255,255,0.1,0.1,-1245.39,-1253.89,-65.43,-1245.39,-1253.89,-65.43
255,255,0.5,0.5,-1244.52,-1254.1,0.0,-1244.52,-1254.1,0.0
-255,-255,0.2,0.2,-733.31,-1253.68,0.03,-733.31,-1253.68,0.03
-128,-128,0.2,0.2,-813.73,-1253.71,0.03,-813.73,-1253.71,0.03
-74,-74,0.2,0.2,-822.58,-1253.71,0.02,-822.58,-1253.71,0.02
-74,-74,1.0,1.0,-823.29,-1253.71,0.02,-823.29,-1253.71,0.02
-50,-50,1.0,1.0,-875.19,-1253.71,-0.04,-875.19,-1253.71,-0.04
0,0,1.0,1.0,-889.85,-1253.7,-0.06,-889.85,-1253.7,-0.06
0,0,1.0,1.0,-889.85,-1253.7,-0.06,-889.85,-1253.7,-0.06
-200,-200,0.8,0.8,-889.85,-1253.7,-0.06,-889.85,-1253.7,-0.06
-200,-200,0.8,0.8,-1236.42,-1252.84,-0.12,-1236.42,-1252.84,-0.12
